pop_size,num_generations,mutation_rate,crossover_rate,best_distance
100,100,0.005,0.7,2167.96652427221
100,100,0.005,0.85,2181.910845548948
100,100,0.005,0.95,2107.5501324321067
100,100,0.01,0.7,2150.209905439949
100,100,0.01,0.85,2157.3774396307417
100,100,0.01,0.95,2168.826832044489
100,100,0.02,0.7,2192.7993449784135
100,100,0.02,0.85,2082.305390042143
100,100,0.02,0.95,2095.0610030459043
100,300,0.005,0.7,2029.1321378018188
100,300,0.005,0.85,2180.831232104154
100,300,0.005,0.95,2110.025305041856
100,300,0.01,0.7,2044.100020972455
100,300,0.01,0.85,2110.1998939006817
100,300,0.01,0.95,2145.6860714408685
100,300,0.02,0.7,2122.269144509646
100,300,0.02,0.85,2134.0208775557944
100,300,0.02,0.95,2233.9389416694517
100,500,0.005,0.7,2212.100784467753
100,500,0.005,0.85,1999.9753908491548
100,500,0.005,0.95,2093.4104047746087
100,500,0.01,0.7,2012.8089315017835
100,500,0.01,0.85,2183.1922531870778
100,500,0.01,0.95,2117.376584563077
100,500,0.02,0.7,2206.115565700193
100,500,0.02,0.85,2141.969462375469
100,500,0.02,0.95,2088.7219164284293
500,100,0.005,0.7,1996.275378940697
500,100,0.005,0.85,2002.043328878103
500,100,0.005,0.95,2025.8841490110387
500,100,0.01,0.7,2182.226672686702
500,100,0.01,0.85,2113.854905554266
500,100,0.01,0.95,2053.4285517104327
500,100,0.02,0.7,1936.7263934731031
500,100,0.02,0.85,2042.5060253203392
500,100,0.02,0.95,2075.0710273189993
500,300,0.005,0.7,2057.2904208797086
500,300,0.005,0.85,1967.9820090543546
500,300,0.005,0.95,2003.820127206158
500,300,0.01,0.7,1890.470802981897
500,300,0.01,0.85,2035.7930648752597
500,300,0.01,0.95,2068.1160638965603
500,300,0.02,0.7,2080.783611182415
500,300,0.02,0.85,2024.2913722381543
500,300,0.02,0.95,2035.2618521002926
500,500,0.005,0.7,1947.7964163424122
500,500,0.005,0.85,1892.4065113693634
500,500,0.005,0.95,1903.2369228828934
500,500,0.01,0.7,1739.9267479705218
500,500,0.01,0.85,1922.615937777695
500,500,0.01,0.95,1963.3237146392648
500,500,0.02,0.7,2027.1773888242433
500,500,0.02,0.85,1903.667504196889
500,500,0.02,0.95,1970.1654865161904
1000,100,0.005,0.7,2007.0971899068768
1000,100,0.005,0.85,2007.6257226143732
1000,100,0.005,0.95,2034.713031770688
1000,100,0.01,0.7,2057.662257854775
1000,100,0.01,0.85,2034.347267074672
1000,100,0.01,0.95,2080.8712476969004
1000,100,0.02,0.7,2051.691600970363
1000,100,0.02,0.85,2024.4077385287276
1000,100,0.02,0.95,2074.7592235187353
1000,300,0.005,0.7,1998.2194508204122
1000,300,0.005,0.85,1968.417167978016
1000,300,0.005,0.95,2028.7496266528567
1000,300,0.01,0.7,1921.638359570581
1000,300,0.01,0.85,1938.0582613783463
1000,300,0.01,0.95,1917.9660561435237
1000,300,0.02,0.7,2024.1491806765916
1000,300,0.02,0.85,1877.6813514150447
1000,300,0.02,0.95,1990.0879904917688
1000,500,0.005,0.7,1874.9915107670058
1000,500,0.005,0.85,1880.5476139105995
1000,500,0.005,0.95,1892.9345666283914
1000,500,0.01,0.7,2014.2263822508908
1000,500,0.01,0.85,1893.1347031219652
1000,500,0.01,0.95,1877.7759390361468
1000,500,0.02,0.7,1768.7846589841545
1000,500,0.02,0.85,1784.6682614343358
1000,500,0.02,0.95,1921.3823690249426
