pop_size,num_generations,mutation_rate,crossover_rate,best_fitness
100,100,0.005,0.7,21926.988495099715
100,100,0.005,0.85,22029.62249825016
100,100,0.005,0.95,21962.388063836555
100,100,0.01,0.7,22010.791853874987
100,100,0.01,0.85,21973.194793755236
100,100,0.01,0.95,22060.401545870354
100,100,0.02,0.7,21978.536666027434
100,100,0.02,0.85,21947.333670390362
100,100,0.02,0.95,22095.12664872802
100,300,0.005,0.7,21955.86491379251
100,300,0.005,0.85,21967.297767167223
100,300,0.005,0.95,22031.687554864893
100,300,0.01,0.7,21997.213501482263
100,300,0.01,0.85,22022.57326286576
100,300,0.01,0.95,22015.07820894681
100,300,0.02,0.7,21975.77249509789
100,300,0.02,0.85,22072.025796703427
100,300,0.02,0.95,22003.526425432043
100,500,0.005,0.7,21970.369928489876
100,500,0.005,0.85,21965.680605695907
100,500,0.005,0.95,21943.04950140868
100,500,0.01,0.7,21920.566199850284
100,500,0.01,0.85,22009.131086659567
100,500,0.01,0.95,22077.068645589457
100,500,0.02,0.7,22037.31588225893
100,500,0.02,0.85,22064.754728252545
100,500,0.02,0.95,21988.722702474377
500,100,0.005,0.7,22035.05835873473
500,100,0.005,0.85,22069.03657927105
500,100,0.005,0.95,22035.159172567914
500,100,0.01,0.7,22041.472360734424
500,100,0.01,0.85,22064.69795813267
500,100,0.01,0.95,22053.447361966366
500,100,0.02,0.7,22028.28954964554
500,100,0.02,0.85,22065.82255275136
500,100,0.02,0.95,22069.398373765194
500,300,0.005,0.7,22066.646886773702
500,300,0.005,0.85,22008.070593668708
500,300,0.005,0.95,22165.593020461194
500,300,0.01,0.7,22065.216681277238
500,300,0.01,0.85,22079.186216900624
500,300,0.01,0.95,22107.075341450247
500,300,0.02,0.7,22068.33226276888
500,300,0.02,0.85,22074.85964848564
500,300,0.02,0.95,22099.562426844757
500,500,0.005,0.7,22041.906844826008
500,500,0.005,0.85,22003.90717714635
500,500,0.005,0.95,22129.346530173854
500,500,0.01,0.7,22066.00613366889
500,500,0.01,0.85,22092.014823990972
500,500,0.01,0.95,22143.045917675237
500,500,0.02,0.7,22128.997602129784
500,500,0.02,0.85,22094.06773341871
500,500,0.02,0.95,22083.841003173602
1000,100,0.005,0.7,22073.287725541268
1000,100,0.005,0.85,22028.758854853706
1000,100,0.005,0.95,22128.555403671828
1000,100,0.01,0.7,22078.57483139734
1000,100,0.01,0.85,22081.339010433818
1000,100,0.01,0.95,22067.019113790306
1000,100,0.02,0.7,22096.573275605082
1000,100,0.02,0.85,22186.81684397889
1000,100,0.02,0.95,22055.467089578277
1000,300,0.005,0.7,22095.98383129885
1000,300,0.005,0.85,22080.78104191669
1000,300,0.005,0.95,22116.116718615067
1000,300,0.01,0.7,22090.417837214205
1000,300,0.01,0.85,22100.54105240421
1000,300,0.01,0.95,22205.041171062745
1000,300,0.02,0.7,22213.171009452595
1000,300,0.02,0.85,22100.346683089225
1000,300,0.02,0.95,22071.988200481414
1000,500,0.005,0.7,22084.906269777057
1000,500,0.005,0.85,22111.227834874084
1000,500,0.005,0.95,22184.222593443075
1000,500,0.01,0.7,22168.21387966213
1000,500,0.01,0.85,22137.680624616045
1000,500,0.01,0.95,22124.473169303943
1000,500,0.02,0.7,22148.207943237434
1000,500,0.02,0.85,22085.791957318936
1000,500,0.02,0.95,22065.306134430906
