pop_size,num_generations,best_distance
100,100,2389.697086673551
100,100,1392.559189100671
100,100,1165.4069871563759
100,300,2402.4775346011156
100,300,1450.2986381663043
100,300,1095.5674728393772
100,500,2386.311747984782
100,500,1395.5102300618291
100,500,1162.7362503515612
500,100,2395.8671979028854
500,100,1482.0013196079399
500,100,1118.7376332803956
500,300,2404.3712059085765
500,300,1416.9280366941607
500,300,1125.157605384095
500,500,2447.1107408648554
500,500,1411.6283955195493
500,500,1149.612254075671
1000,100,2386.3796031024567
1000,100,1357.3985588679204
1000,100,1138.664331327215
1000,300,2418.7403830096973
1000,300,1414.3222072373596
1000,300,1181.7878975061824
1000,500,2398.721558478786
1000,500,1405.90236200765
1000,500,1122.2588929551437
