pop_size,num_generations,num_cluster,best_distance
100,100,5,2370.3755823562924
100,100,15,1420.5296824223765
100,100,25,1230.616586608127
100,300,5,2407.7818784159895
100,300,15,1364.4257491211063
100,300,25,1188.412423225729
100,500,5,2408.7046132130095
100,500,15,1439.4107103591848
100,500,25,1102.4757409332683
500,100,5,2395.8671979028854
500,100,15,1406.899164314841
500,100,25,1160.9996679608616
500,300,5,2413.68567535411
500,300,15,1442.9669635354624
500,300,25,1122.4155069384065
500,500,5,2413.4941562615522
500,500,15,1436.6086166654566
500,500,25,1165.9244220852581
1000,100,5,2405.2608819508196
1000,100,15,1356.6198094355307
1000,100,25,1159.09191821944
1000,300,5,2408.7046132130095
1000,300,15,1375.0102666200655
1000,300,25,1105.2216434582754
1000,500,5,2399.2576250896714
1000,500,15,1431.2171515949678
1000,500,25,1131.878517852464
